pf_id,smiles,hfu_p_mod,hfu_p_num,measure_comm,hbp_mod,hbp_num,blood2plasm_comm
PF-00344556,FC(F)(F)c1ccc(cc1)O[C@H](CCNC)c2ccccc2,=,0.11,,,,
PF-00344745,S2c1c(cccc1)N(c3c2cccc3)CCCN(C)C,=,0.1115,,=,0.925,
PF-04750365,Clc1c(cc(cc1)[C@@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)Cc3ccc(cc3)OCC,=,0.113,,,,
PF-06101294,[N+](=O)([O-])c1c(ccc(c1)C(F)(F)F)C(=O)C2C(=O)CCCC2=O,=,0.113,,,,
PF-01677920,N1(CCN(CC1)C)Cc2ccc(cc2)C(=O)Nc3cc(c(cc3)C)Nc4nc(ccn4)-c5cnccc5,=,0.115,,=,0.865,
PF-00335487,Brc1cc(c(cc1)Nc2ncnc3c2cc(c(c3)OCC4CCN(CC4)C)OC)F,=,0.116,,,,
PF-00344598,S(=O)(=O)(N)c1sc(nn1)NC(=O)C,=,0.117,,,,
PF-00344727,[nH]1c(nc2c1ccc(c2)C(=O)c3ccccc3)NC(=O)OC,=,0.117,,=,0.763,
PF-00344569,Clc1cc3c(cc1)CCc2c(cccc2)N3CCCN(C)C,=,0.118,,=,0.847983998,
PF-00296683,N(CCC=C2c1c(cccc1)CCc3c2cccc3)(C)C,=,0.1193,Low recovery in experiment ,=,0.878,
PF-00262192,Fc1cc\2c(cc1)NC(=O)/C2=C\c3[nH]c(c(c3C)C(=O)NCCN(CC)CC)C,=,0.1205,,=,1.23,
PF-01000000,S(=O)(=O)(N1CCN(CC1)C)c2cc(c(cc2)OCC)C4=Nc3c(n(nc3CCC)C)C(=O)N4,=,0.124,,=,0.683333333,
PF-00345095,C64=C1C(=NC2(N1)CCN(CC2)CC(C)C)c3c5c(c(c(c3C4=O)O)C)O[C@@](C5=O)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]([C@@H](C)C=CC=C(C(=O)N6)C)O)C)O)C)OC(=O)C)C)OC)C,=,0.13275,Pre-Saturation Method x5Pre-Saturation Method x10  ,=,0.827,
PF-00248926,Clc1cc3c(cc1)Nc2c(cccc2)C(=N3)N4CCN(CC4)C,=,0.133,,=,0.7935,
PF-00344824,Clc1ccc(cc1)-c2c(nc(nc2CC)N)N,=,0.133,,=,0.711,
PF-00346606,S2c1c(cccc1)N=C(c3c2cccc3)N4CCN(CC4)CCOCCO,=,0.134,,,,
PF-02400225,S(=O)(=O)(N1CCN(CC1)CC)c2cc(c(cc2)OCC)C4=NC(=O)c3n(c(nc3C)CCC)N4,=,0.136,,=,0.782,
PF-07072383,n21c(nc(c1c(ncc2)N)-c3ccc(cc3)C(=O)Nc4ncccc4)[C@H]5N(CCC5)C(=O)C#CC,=,0.137,,=,0.819,
PF-00345101,Clc1c(cccc1)C2=N[C@H](C(=O)Nc3c2cc(cc3)Cl)O,=,0.14,,,,
PF-06676207,FC(F)(F)C(C)(C)c1nccc(c1)-c2sc(nc2C)NC(=O)N3[C@@H](CCC3)C(=O)N,=,0.143333333,,=,1.2,
PF-00344846,Clc2cc1nccc(c1cc2)Nc3cc(c(cc3)O)CN(CC)CC,=,0.1445,,=,1.495,
PF-00344733,N(CCC=C2c1c(cccc1)CCc3c2cccc3)C,=,0.146428571,,=,1.295,
PF-00346634,N(C(C)C)(C(C)C)CC[C@@H](c1c(ccc(c1)C)O)c2ccccc2,=,0.15,,=,0.615,
PF-00579967,s1c(c(cc1)C)C(=CCCN2C[C@@H](CCC2)C(=O)O)c3sccc3C,=,0.153,,=,0.6315,
PF-02669968,N2([C@H](c1c(cccc1)CC2)c3ccccc3)C(=O)O[C@H]4CN5CCC4CC5,=,0.157,,=,0.789,
